timestamp,label,workload,threads,tps,p95_latency,avg_latency,total_queries,errors,rc,status,cpu_pct,mem_pct,disk_io_mbps
2026-04-01T06:38:18Z,d8s_v5_rocky_obproxy,oltp_write_only,16,1983.27,10.09,8.07,1428078,0,0,ok,0.0,0.0,0.00
2026-04-01T06:40:18Z,d8s_v5_rocky_obproxy,oltp_write_only,32,3624.05,11.24,8.83,2609562,0,0,ok,0.0,0.0,0.00
2026-04-01T06:42:18Z,d8s_v5_rocky_obproxy,oltp_write_only,64,4028.37,27.66,15.87,2904378,0,0,ok,0.0,0.0,0.00
2026-04-01T06:44:19Z,d8s_v5_rocky_obproxy,oltp_write_only,128,6520.43,33.72,19.61,4701738,0,0,ok,0.0,0.0,0.00
2026-04-01T06:46:19Z,d8s_v5_rocky_obproxy,oltp_write_only,256,6167.78,82.96,41.47,4444914,0,0,ok,0.0,0.0,0.00
2026-04-01T06:48:19Z,d8s_v5_rocky_obproxy,oltp_read_write,16,454.96,57.87,35.16,1092220,0,0,ok,0.0,0.0,0.00
2026-04-01T06:50:19Z,d8s_v5_rocky_obproxy,oltp_read_write,32,630.47,87.56,50.74,1513760,0,0,ok,0.0,0.0,0.00
2026-04-01T06:52:19Z,d8s_v5_rocky_obproxy,oltp_read_write,64,660.21,176.73,96.90,1585700,0,0,ok,0.0,0.0,0.00
2026-04-01T06:54:19Z,d8s_v5_rocky_obproxy,oltp_read_write,128,680.24,376.49,188.04,1634660,0,0,ok,0.0,0.0,0.00
2026-04-01T06:56:20Z,d8s_v5_rocky_obproxy,oltp_read_write,256,691.96,787.74,369.56,1664540,0,0,ok,0.0,0.0,0.00
